show_id,imdb_title_id,title,genre,duration_imdb,director,actors,release_year,rating,description_net,description_imdb,country_imdb,language,date_added,avg_vote,votes
81145628,tt9428190,Norm of the North: King Sized Adventure,"Animation, Adventure, Comedy",90,"Richard Finn, Tim Maltby","Jennifer Cameron, Brian Dobson, Michael Dobson, Lisa Durupt, Simon Hayama, Jonathan Holmes, Cole Howard, Maya Kay, Alan Marriott, Lee Tockar, Vincent Tong, Andrew Toth",2019,TV-PG,"Before planning an awesome wedding for his grandfather, a polar bear king must take back a stolen artifact from an evil archaeologist first.","An ancient Chinese artifact has been stolen by a villainous archaeologist named Dexter. With the help of his Lemming friends, Norm must keep his word and embark on a journey across the ...","USA, India, South Korea, China",English,2019-09-09,3.2,185
70304990,tt1361318,Good People,"Action, Crime, Thriller",90,Henrik Ruben Genz,"Sam Spruell, Michael Fox, Diarmaid Murtagh, Francis Magee, Omar Sy, Maarten Dannenberg, Kate Hudson, Orlando Burns-Tucker, Bertram Burns-Tucker, Anna Friel, Michael Jibson, James Franco, Waj Ali, Tom Wilkinson, Diana Hardcastle",2014,R,A struggling couple can't believe their luck when they find a stash of money in the apartment of a neighbor who was recently murdered.,"Discovering a stash of cash in their dead tenant's apartment, a couple in debt take the money and find themselves the target of a deadly adversary - the thief who stole it.","USA, UK, Denmark, Sweden",English,2017-09-08,5.5,14655
70299204,tt2917388,Kidnapping Mr. Heineken,"Action, Crime, Drama",95,Daniel Alfredson,"Jim Sturgess, Sam Worthington, Ryan Kwanten, Anthony Hopkins, Mark van Eeuwen, Thomas Cocquerel, Jemima West, David Dencik, Dirk Roofthooft, Vera Van Dooren, Kat Lindsay, Roy McCrerey, Vince Canlas, Natalie Mejer, Eric Godon",2015,R,"When beer magnate Alfred ""Freddy"" Heineken is kidnapped in 1983, his abductors make the largest ransom demand in history.","The inside story of the planning, execution, rousing aftermath, and ultimate downfall of the kidnappers of beer tycoon Alfred ""Freddy"" Heineken in 1983, which resulted in the largest ransom ever paid for an individual.","Netherlands, Belgium, UK, USA","English, Dutch, German",2017-09-08,6.1,18168
80057969,tt3774694,Love,"Drama, Romance",135,Gaspar Noé,"Aomi Muyock, Karl Glusman, Klara Kristin, Ugo Fox, Juan Saavedra, Gaspar Noé, Isabelle Nicou, Benoît Debie, Vincent Maraval, Déborah Révy, Xamira Zuloaga, Stella Rocha, Omaima S.",2015,NR,A man in an unsatisfying marriage recalls the details of an intense past relationship with an ex-girlfriend when he gets word that she may be missing.,"Murphy is an American living in Paris who enters a highly sexually and emotionally charged relationship with the unstable Electra. Unaware of the effect it will have on their relationship, they invite their pretty neighbor into their bed.","France, Belgium","English, French",2017-09-08,6.1,39385
80046728,tt2718440,Moonwalkers,"Action, Comedy",107,Antoine Bardou-Jacquet,"Rupert Grint, Ron Perlman, Robert Sheehan, Stephen Campbell Moore, Eric Lampaert, Kevin Bishop, Tom Audenaert, Erika Sainte, Jay Benedict, Kerry Shale, James Cosmo, John Flanders, Joe Sheridan, Andrew Blumenthal, Julie Maes",2015,R,"A brain-addled war vet, a failing band manager and a Stanley Kubrick impersonator help the CIA construct an epic scam by faking the 1969 moon landing.",After failing to locate the legendary,"France, Belgium",English,2017-09-08,6.1,7963
80057700,tt3687398,The Runner,Drama,90,Austin Stark,"Nicolas Cage, Sarah Paulson, Peter Fonda, Connie Nielsen, Wendell Pierce, Bryan Batt, Christopher Berry, Ciera Payton, Fredric Lehne, James Moses Black, Donna Duplantier, Brooke Hoover, Darcel White Moreno, Kerry Kahill, Marcus Lyle Brown",2015,R,A New Orleans politician finds his idealistic plans for rebuilding after a toxic oil spill unraveling thanks to a sex scandal.,"In the aftermath of the 2010 BP oil spill, an idealistic but flawed politician is forced to confront his dysfunctional life after his career is destroyed in a sex scandal.",USA,English,2017-09-08,4.7,4676
80045922,tt3799372,6 Years,"Drama, Romance",79,Hannah Fidell,"Taissa Farmiga, Ben Rosenfield, Lindsay Burdge, Joshua Leonard, Jennifer Lafleur, Peter Vack, Dana Wheeler-Nicholson, Molly McMichael, Jason Newman, Alysia Lucas, Dillon Cavitt, Elizabeth Lestina, Nichole Worrell, Corby Sullivan, Scott Colquitt",2015,NR,"As a volatile young couple who have been together for six years approach college graduation, unexpected career opportunities threaten their future.","A young couple, bound by a seemingly ideal love, begin to unravel as unexpected opportunities spin them down a volatile and violent path and threaten the future they had always imagined.",USA,English,2015-09-08,5.6,10429
80988892,tt7133686,Next Gen,"Animation, Action, Adventure",106,"Kevin R. Adams, Joe Ksander","John Krasinski, Charlyne Yi, Jason Sudeikis, Michael Peña, David Cross, Constance Wu, Kiana Ledé, Anna Akana, David Acord, Reyna Amaya, Issac Ryan Brown, Reba Buhr, Makenna Cowgill, Holly Dorff, Moosie Drier",2018,TV-PG,"When lonely Mai forms an unlikely bond with a top-secret robot, they embark on an intense, action-packed adventure to foil the plot of a vicious villain.","A friendship with a top-secret robot turns a lonely girl's life into a thrilling adventure as they take on bullies, evil bots and a scheming madman.","China, Canada, USA","English, Mandarin",2018-09-07,6.6,11697
81154455,tt10324144,Article 15,"Crime, Drama",130,Anubhav Sinha,"Ayushmann Khurrana, Nassar, Manoj Pahwa, Kumud Mishra, Isha Talwar, Sayani Gupta, Mohammed Zeeshan Ayyub, Subhrajyoti Barat, Sushil Pandey, Aakash Dabhade, Ashish Verma, Ronjini Chakraborty, Veen, Sumbul Touqueer, Zia Ahmed Khan",2019,TV-MA,The grim realities of caste discrimination come to light as an entitled but upright city cop ventures into India’s heartland to investigate a murder.,"In the rural heartlands of India, an upright police officer sets out on a crusade against violent caste-based crimes and discrimination.",India,Hindi,2019-09-06,8.3,13683
70303496,tt2338151,PK,"Comedy, Drama, Fantasy",153,Rajkumar Hirani,"Aamir Khan, Anushka Sharma, Saurabh Shukla, Sanjay Dutt, Boman Irani, Sushant Singh Rajput, Parikshat Sahni, Amardeep Jha, Reema Debnath, Dheerendra Dwivedi, Sai Gundewar, Ram P. Sethi, Rukhsar Rehman, Arun Bali, Pallavi Batra",2014,TV-14,Aamir Khan teams with director Rajkumar Hirani to play a social crusader in a political satire on the state of corruption in India.,An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of religion on its people.,India,"Hindi, English, Urdu, Persian, Kurdish",2018-09-06,8.1,143874
